,twitts,sentiment
0,@robbiebronniman Sounds like a great night. ,1
1,Damn the person who stolde my wallet !!!!!  May karma come back and bite you in the ass.... ,1
2,Greetings from the piano bench  (photo) http://twitpic.com/6oe8i,1
3,@drewryanscott i love it!! i love you!! haha forget a hug...you should give me a kiss...no lie!! please it would be awesome if you did ,1
4,"@kissthestars Pretty pretty pretty please, pakidownload ito then reupload someother site like mediafire. hindi mgwork ang MU skin. ",0
5,Really upset  http://myloc.me/5x1T,0
6,@lilyroseallen big pool or paddling pool?! might be able to manage a paddle pool in my surroundings but that's as luxury as it will get!! ,1
7,"@arianna_skye  Hee!   I did tweet...  And you're 10,001!!! LOL ",1
8,is happy to have Tickets for the Concerts ,1
9,"@mileycyrus http://twitpic.com/78urd - Miley, u look soooo much better like this...  its soooo laid back!",1
10,must.go.to.bed.early! ,0
11,Shhhh...Quitely Now...Come See... I found a HOLE in the FENCE   http://bit.ly/s9pMO,1
12,uh oh.. the sound is messed up on cable ,0
13,The Festï¿½s on ,1
14,What? I'm not the best? ,0
15,k finally made to the hammock and this is the innagual tweet YAHOOOOOOOOO  Peace and harmony.,1
16,"@mitchelmusso Not allowed to call as I live in the UK, my parents say it will cost to much  Sucks !!",0
17,@sandysaikman I do! It sucks! Makes me sad  and u know how I love to talk. So it SUCKS!,0
18,My favourite is Silver Hook which is very nutty but out of stock right now  http://bit.ly/2mgQTv,0
19,FINALLY leaving hell  my car sounds awful...ugh.,0
20,Just realised Ive spent Â£475 on clothes today. ,0
21,Singing a Duo with an Aussie Koala  www.marcopalli.com http://twitpic.com/68slg,1
22,@mahafreed Im running out of battery .. 20% now. Wont last for long  anyway im planning to get out soon and get more daru...,0
23,@zidman8 It was really nice meeting you too ,1
24,is leaving for work in a minute ,0
25,@truejerseygirl I went as a kid in Scotland on the North Sea. They were catching cod and whacking them on the head. Cried the whole time. ,0
26,Back at work but must eat first. Leftover Chinese is calling me ,1
27,@Ri_Guy that is so bad. thats what happend to tara i was so so excited and then it was a no go  im so sorry,0
28,is getting ready for a fun day of laying out in the sun before the new schedule kicks in Sunday  ,1
29,@EdMercer Very well said by Piaget ,1
30,I'm packing to go home to Boston...Yay!!! ,1
31,@james__buckley i hope ouve got your suncream on coz me and @Amanda21crook got very burnt at the beach yesterday  x,0
32,"@alroker hi Al, I'm near Lake George NY. Frost last night. Covered flowers &amp; veggie plants. June 1st &amp; frost happens. We're moving. ",1
33,"summer ball amazing however feeling like death, sitting in bed with a cuppa watching the Office ",1
34,@thehurricaneee  u look like a hot tamale ,1
35,@WAYKNEE AHHH SAME ,0
36,"@vicentemendoza agree  am still on ep10. oh well, i've heard about that suicide thingy too. that's sad. well, i ? yi jung-ga eul tandem!",1
37,Im soo exhausted I feel sick  Cant do this Anymore,0
38,@princesita015 - London is one of the most amazing cities I have ever been to ,1
39,@anonyw haha yea sha   nggak di officialin kesel abis :p,0
40,Just left Brooklyn. Bumping the new Sarah White.  it soundz fly Don Cuco y Ms. Blanca. Goodluck en Espana!!,1
41,@balmainbazaar agree with you about facehunter  embarrassing representation. compare to swedes who all look like they were born stylish.,0
42,about to watch saw iv and drink a lil wine ,1
43,"@stoshad i almost bought a bullpen hat today, but thought i might look too douchey  i feel like all the possibilities are me somehow ",0
44,"Urgh. Been playing my game for about an hour and my computer decided it needs to restart,before i could get a chance to save. ",0
45,"@pdfloral I miss having a retail store. It was a lot of work, almost like having another kid. But loved being my own &quot;shop girl&quot;. ",1
46,@stevenleedawson I missed the vodka and chinese food? what?!?!?! ,0
47,chips and milk don't go together ,0
48,I did already  haha,1
49,Reading my 8 Days.. ,1
50,@jackyan Sounds a good solutions heh! ,1
51,Hey Fam!! ,1
52,@teemwilliams Hope you have a great show tonight! I'm sure you will though!! Feels like I havent seen u perform live in aggess ,0
53,"uploading photos.   (on: Facebook, &amp; Friendster... Myspace later.)",1
54,My poor little girl has a cold..... And I need my sleep ,0
55,Meet my new best friend  http://twitpic.com/67tsv,1
56,"@HotJane yeah, um Jane, the only un-boring eye candy around there I'm sure is you, hon'! ",1
57,just got back from Canberra... now watching So You Think You Can Dance ,1
58,goin to sleeping but sad beacose tomorrow have sports ,0
59,@bngr Chesterfield ave. is the main road all the way through. From Heuston (Main gates) to the left isn't being used ,1
60,@CHILfreebies That sucks   Have you thought about a franchise type business?  I do this: http://bit.ly/1864ml,0
61,@princesammie.... i just joined @honeymagazine. I like that website. Couldnt find you to add you as a friend ,0
62,@icaruswingz  The cunt.,0
63,just got this weeks copy of R&amp;R... oh wait... oops  nevermind its Billboard...,0
64,@ericakelly01 LOL I was. ,1
65,goodnight!  that dodger game really burned my wallet and me :/,1
66,@vanunu YES WE DO. WHAT HAPPENED BABY? ,0
67,"@howie_d you're gonna take good care of that little baby and he's gonna be a strong boy, that's for sure ",1
68,"attempting to sleep.  Hopefully, a good day tomorrow. ",1
69,"@RenBlink182 ok i'll come on msn in a bit , im off to the chippy in a mo to get my dinner lol, speak to u laters ",1
70,@mishmash878 well have a good week and hope the hand feels better ,1
71,"so excited !! starting tomorrow, yal need to call me SOPHOMRE ! haha, peace  saw kim sang bum ! on tv.haha",1
72,@TynzBoomPow do you think I'm crazy? I like her songs too! I got rid of them recently and I regret it. ALOT! ,0
73,@DavidArchie: I went to watch your concert with David Cook.. both of you are good singers.. ,1
74,Physics is actually really awesome  Just sayin'!,1
75,@tonyprice hey good job again 2nyt. My friends luvd u! Im ur pimp now.. LOL ,1
76,"@DTPHULP  lol, me too....    You do know that the sound of your voice is great ?  We only need to do some euh fine-tuning... ",1
77,@OMJitsSarax3 I can make things better ,1
78,"ed mcmahon nooo, also and accident at the airport, &quot;structural failure&quot;  AND i got called in to work all day im tired as fvck i didnt slp",0
79,@DarthSLR  gmail is  not working for me either ,0
80,Time to head out and sort the broken HP printer I've only had for a couple months at Currys ,0
81,"Hmm, So 2 more weeks until the answer of who made the FSDT is annouced ",1
82,HAHA just when i was about to talk shit about college life it made me laugh  good save mtv,1
83,I hate sleepovers with shannon ,0
84,At Mount Zoomer makes me think of [last] summer ,0
85,My life made into this comic.... tear    http://is.gd/1aQ8r,0
86,@friendley im new at this too. lol im just trying to get as many people to follow me check out this site though acemansworld.com its cool ,1
87,heading home so no internet again for the next couple of days. ,0
88,"@Jonas_Dreamgirl Getting ready for tonight (Y) Waiting for my nail polish to dry, then gotta do my hair&amp;&amp; makeup  xoxo",1
89,hates that he had to babysit for a while and missed the last bus to Carlisle until 11-ish and will now most likely miss the Smiths fest! ,0
90,No Sims 3 today  Perhaps Monday then ,0
91,"going to see ground zero. i dont wanna go, reasons ",0
92,@mmmicaela ha i know ,1
93,@jamescantbeseen IMY2! I'm still sick. Sicker than yesterday. ,0
94,"Thank god Nyai's operation was successful  here I am, lying on my bed, still sleepy cant sleep. -_-. datarock ,rock on!",1
95,painting my nail ,0
96,@SexyCityMag I want to but I'm not sure ,0
97,@anc153 Luckyyy. There are apparently no Robeks in the entire state of PA ,0
98,@Renato71 good morning! ,1
99,@Nisher Yeah yeah? How the heck are you anyway? Sastch it up again this year? I had to bail out for lack of expenses ,0
100,"@yelyahwilliams Hayley, I'm yer biggest fan! Come to the Philippines, please! ",0
101,@tim339  i suppose haha,1
102,watching an interview with my one true icon... Karl Lagerfeld. He amazes me. I love him &amp; all his work ,1
103,after a night of dancing and pretty shoes i have blistered feet  question is was ut worth it!,0
104,"Hoping the old voice pulls through with trumps tonight, not feeling tip top. CAPESIDE will have fun tonight ",1
105,"Inexplicably CREEPED OUT right now. Something about my house is scary, and I'm home alone, too. ",0
106,in college on a beautiful day like this :O:O !!! not amused one bit  xx,0
107,ugh i ate too much today. i now have a tummy ache. ,0
108,@ciaobella6 YAY!! its about time ,1
109,Loving the hot chicken wings at KFC.  It's finger lickin good ,1
110,asfuwegharegu hangovers = ,0
111,i have my algebra final tomorrow ,0
112,It's after midnight and it has been a loooooong day. Did I mention my kid's out of school now?  Whew-Why can't I have that kind of energy?,1
113,"@Kathryn17 I don't know you that well (yet), or do I? ",1
114,@ryanj81 That's how I am! ,0
115,Not a single tweet in 3hours... I think all the birds been shot ,0
116,My baby is now officially off to middle school! ,0
117,"@WelshDragon72 tell that to Jordi Chandler who described his cock, warts n all ",0
118,is losing hope fast ,0
119,@justbreathex lian ,1
120,@RobMader Do you ever sleep??  ,1
121,i'm at the office trying to finish up so i can get out of here and head out to bahama breeze ,1
122,Trying to keep up with the Perez/Will i am fued   xxxx,0
123, now I found the final &amp; right song  http://bit.ly/urtkr,1
124,Just found 'You'll be in my heart' by Phil Collins on my ipod  tarzan soundtrack rules xD wondering if anybody actually reads all this xD,1
125,Just reading about opportunities to walk with a llama - and feel calmer  http://www.getactivewithanimals.com/walkwithllamas.html,1
126,uhoh  didnt hear oven bell go off. shortcrust pastry officially dead . gotta start again ,0
127,@vallovetwilight Kudos too you doll! LOL! ,1
128,Just made some new friends in Miami at laughing buddah... Now hanging out with them n topher  http://twitpic.com/6v7qc,1
129,"Tsk , daddy so emo now !  HAHAHA",0
130,"@ThingsMomsLike o wow, huge prize! congrats to her ",1
131,"Is at camp, his job, it is full of religious nuts ",0
132,@wide_receiver rubbish ,0
133,"ive had the best weekend in a long time, im suffering now though  xx",0
134,@eddiekemp that does suck  im following u ;) ily,0
135,@sputuk Surely that's the Audi TeeHee then  #failedcarmodels (via @Chapla1n) - or the Yugo Angiggle?,1
136,Can't sleep and have to be up way early tomorrow ,0
137,@backstreetboys Brian you'are so adorable and funny   (groundctrl live &gt; http://ustre.am/X1C),1
138,@jessako i can't wait to see the finished product ,1
139,Missin my baby.... ,0
140,@lauradman   Sorry Laura... maybe you can catch a nap later???  Hopefully??,0
141,@ddlovato http://demilovatosource.net/ YOUR #1 UK/LONDON FANSITE  I KNW UR GNA LOVE IT!... ill shw u when u get here  &lt;3,1
142,@TheRealRouga im sooooo happy!! I missed my Rouga  WHEN are we chillin!!!,0
143,A piece of plastic fell off my iPhone 3G. It's the tiny piece between the silent button and the volume buttons. I lost it  ,0
144,sitting at work... not wanting to work... ,0
145,@rollingcherry why wasn't there a &quot;zugabe&quot;? ,0
146,My gal used 2 do dat @scholarette #onthelow I hide his keys and cell phone just to get him to stay longer ,0
147,Is up for getting ready for work excited  to start the day ,1
148,@Princess_Han i got told it was happening and decided not to go about an hour before  wish i did now- i thouht they sung so what =|,0
149,"DISAPOINTED IN MYSELF, I GOT NOTHING ACCOMPLISHED THIS WEEKEND BESIDES CATCH UP ON SLEEP  GOD IS LOVE, GOD IS GREAT ALL THE TIME!!!!!",0
150,Looking forward to getting flat keys today ,1
151,"Hair, meet your soulmate- Vidal Sassoon.  - http://tweet.sg",1
152,I'm a selfish person and a mean daughter...I guess there are some things you never grow out of ,0
153,@lisjustice  #davethinkslisgaynohomo #rotflmao,1
154,Still a lot of life into these old bones  http://bit.ly/gNsSa,1
155,@MatthewAdamDiaz i guess i just need to learn to walk again ,0
156,"@paolakoala only 5 miles, but I'm surrounded by very steep and long hills ",0
157,@carriemrobison got any more? On the Rocks please? I love picnic jazz... Our area doesn't do that in the summer. ,0
158,@AndySalmon Don't forget you CAN have coffee if you are gonna get a workout in...BST day! ,1
159,lost my keys at the mall... took me 45 mins to find them ,0
160,Woke up kinda warm with a sore throat - allergies? Or [gasp] swine?!? Maker here I come ,0
161,"Whenever possible, watch ADHD people clean. It's fun! ",1
162,"@FizzyDuck hi ! I would suggest music of my electro project *** http://bit.ly/12KoF0 *** fresh, kickin', different! free dl &amp; have fun ",1
163,Something's going down tonight ,1
164,at temporary spaces with the love of my life. ,1
165,"@ebassman I'll be there in a hot minute, yo! I know u miss me... Lol!  See ya soon!!",1
166,@feverishpoptart: i dont know. my car is costing me $1000 instead of the $300 we had anticipated. ,0
167,There is nothing to do for the next hour here.  i want to just get on the plane and get to Buenos Aires!,0
168,having an apple ,1
169,@BobbiBillard A large number 14 to go please. ,1
170,@aneshaisaplus This is my creative time. That is y I'm up.  Wut r uuuuuu doing up miss thang?,1
171,"@helbro @hicke  OS 3.0 will be available on June 18th, 01:00 local time. That's 1pm on the 17th in New York and 1900 in central Europe. ",0
172,"@techcommdood Er, just you? ",1
173,nothing better than a good cup of coffee ,1
174,chillin with amanda...cool beans lol ,1
175,"bad day , i feel sad ",0
176,@CacheShantel night ,1
177,why has everyone only got 2 exams left yet i still have 4 ?! gaaaah no fair! ,0
178,"surprisingly, i cant wait for @ashleytisdale s new album. i listened to the preview and it sounds great. ",1
179,And the fact that I couldn't spell ridiculous this morning should further prove how out of it I actually am. ,0
180,"right now i am texting and on facebook. and being super bored. if you got my number, call me or text me! ",1
181,"cars,,,,cars....cars.....I need one. ha ha. The one I found last night, that I wanted so bad! is now sold. And not to me ",0
182,Aidan nooooooooooooooooo  Diversity or Julian to win!!!! Susan best not!!!! ï¿½ï¿½,0
183,no more maggie  we will miss her.,0
184,@TurboLisa hNBzbJh?hBxb'zjsjjshshann I replied ,0
185,@MissKellyO I have sore eyes from cooking onions and have a chest infection - great huh? Hope you are well ,1
186,"Kuja: Calling Zidane a womanizing idiot who doesn't know how to run  Life is fun, is it not?",1
187,This is a status update to twitter from ICE  Timestamp: Mon Jun 15 13:46:40 CEST 2009,1
188,There goes the bump  #NASCAR #truckseries,1
189,@ddlovato  I wish. When am I ever gonna go to one of your shows?,0
190,@gabflat It was Hot n Cold by Katy Perry. I know I'm supposed to ~*hate*~ her and such...but that song just works for right now ,1
191,Exhausted.  Only Monday ,0
192,"@ElaineEllis wow, that's an intense sushi plate! I'm so sad I missed the dinner! ",0
193,@blueinkstains That will have to do   I odn't think absinthe is good for breastfed babies anyhow.,0
194,@erin82883 i wouldn't but i have to be. work.  did you just get off work?,0
195,@norafayerberg I take it you wont be there? ,0
196,@blakeeligh I heard about this on CBC this morning.  I was crying along with you. ,0
197,@flaimster yeah - that falls into that 10% (along with rollerskating) ,0
198,"Ahh my bed feels so good!! Back kinda hurts again!!  Lost at Phase 10 tonight, but Kimba lost worse!! ;) Haha Good Night everyone!!",0
199,@juneninth exactly ,0
200,"@MrChrisP what's up Chris OMG d00d how R U.. I suck at spelling d00d. Always had, always will..  .. #Phish ..",0
201,@TheChelseaStaub haha i do that sometimes too...lol we all have moments ,1
202,is bored ! can't wait till tomorrow ! ,1
203,@JTShea No. I remember the first time I've seen this episode.That night I could not sleep. So depressive and sad Futurama episode. ,0
204,Hi everyone!! gonna work all day long.... yeah it's ashamed! Of course there will be tweets!! ,1
205,going to Oakland tonight...yay! can't wait to see my oaktown girls ,1
206,no more rye on the weekend  ,0
207,@SelenaJoey u r soo cute joey plezzzzzzzzzz follow me!! ,1
208,"@ctz stop, I'm not going to pax  I don't want to hear how awesome it's going to be.",0
209,@mvshaw currently unemployed but frantically searching.  I've applied so many places with no luck.  Any ideas?  ,0
210,Back in beautiful Nashvegas! Good to be home. ,1
211,@JetBlue Munchies Mix! Had it on my last JetBlue flight ,1
212,"@FortyDeuceTwits thats how kuz looked after she won. i know she is reserved, but she didnt look very excited. and poor dina ",0
213,"@shalabhchaudhri  Btw ,socializing is work itself. It is not an easy achievement to master it. But you know that already ",1
214,"@gato_anesama What's mean? Did I hurt your feelings?  I'm sure your situation will get better, as mine hopefully will. ",0
215,@ChelisaMontique I don't know that one ,0
216,@tradeshowdispla Form Fifty Five is back! Yay! ,1
217,@julieallinson hb! ,1
218,I love it when you wake up to a good news ! don't you ?  http://annecresci.blogspot.com/,1
219,my mom was supposed 2 be home an hour ago..... ,0
220,Is at Old Chicago having some Woodchucks with Steph ,1
221,Out of my favorite rum.  http://radar.net/c/eBCl,0
222,"@simondsaid my brother and i both have it, he more than i ",1
223,"@gapinvoid hey hugh, fixed the facebook-app, somewhat  http://apps.facebook.com/gapingvoid",1
224,@Disklabs it is shockingly boring isn't it! I am sure I could count the on track passes since lap 1 on one hand ,0
225,@xCemeteryDrivex http://twitpic.com/6fmyh - Frank looks damns sexy. SO Does Mikey &amp;&amp; Gerard. ,1
226,I take back what I said about summer thunderstorms. Still no power ,0
227,@BatJosh awww haha if you say soooooo ,1
228,Windstream's email is almost as annoying as dealing w/ that damn bank. ,0
229,@jasonmitchener happy abt ur neck.. sry bout ur dad... my dad died from emphasema... he was a lifelong smoker...  it wasnt in his sleep ,0
230,http://twitpic.com/6t1bp - cut my bangs a bit too short ,0
231,Happy Mothers Day to all your moms! ,1
232,God dammit! Why won't this cold go away!!  I am miserable.,0
233,I broke a 1000 posts and didn't notice! Congrats me and my verbal diarrhea ,1
234,Battery dying. ,0
235,makin food before i leave..  yum! next time i tweet will prolly be from arizona so idk when it will be.. =/,1
236,"@praveenjoshi dude, you are in public domain! ",1
237,"probably going to see them again in Austin tomorrow night, thanks to Ed. ",1
238,Can't find my id ,0
239,HUGE Thunderstorm!!!! w00p w00p!!! ,1
240,LOL WHY AM I STILL AWAKE. too excited/nervous for ducks. ,0
241,@brandiei thanks! Finally something that I can smile about ,1
242,"I'm at work but it doesn't start until 11, so now I'm an hour early and drenched. ",0
243,@mitchelmusso think you can do a cd signing on the east coast? AHA. ,1
244,@brother_rat Hi..Yes you would have FTP access.  This isnt a twitterhawk reply ,1
245,@gapscott OMG how did you guess?? Me and Tinkerbell are eating some nachos ,1
246,"@karla_martin76 nope i will be working fri, sat, mon, tues ",0
247,eating at coldstone ,1
248,"@Leeann_Gucci wat$ wrong with u$, old friend$ ",0
249,Sister swined up now too poor sis   Due to my recent recovery will be staying far far away from my family for another week,0
250,Thunder woke me up! ,0
251,This weather is making me in a bad mood ,0
